timestamp,date,latitude,longitude
1623167207,"2021-06-08 15:46:47",51.747231,-1.239305
1623167237,"2021-06-08 15:47:17",51.748076,-1.238569
1623167267,"2021-06-08 15:47:47",51.747901,-1.237641
1623167298,"2021-06-08 15:48:18",51.748804,-1.236935
1623167327,"2021-06-08 15:48:47",51.749646,-1.237139
1623167357,"2021-06-08 15:49:17",51.750502,-1.237422
1623167380,"2021-06-08 15:49:40",51.751373,-1.236952
1623167398,"2021-06-08 15:49:58",51.749603,-1.236975
1623167417,"2021-06-08 15:50:17",51.752244,-1.236481
1623167427,"2021-06-08 15:50:27",51.749114,-1.237352
1623167438,"2021-06-08 15:50:38",51.752244,-1.236481
1623167449,"2021-06-08 15:50:49",51.749024,-1.237418
1623167477,"2021-06-08 15:51:17",51.752244,-1.236481
1623167508,"2021-06-08 15:51:48",51.749623,-1.237175
1623167537,"2021-06-08 15:52:17",51.751443,-1.236848
1623167557,"2021-06-08 15:52:37",51.751804,-1.236682
1623167595,"2021-06-08 15:53:15",51.749623,-1.237175
1623167629,"2021-06-08 15:53:49",51.74952,-1.23676
1623167703,"2021-06-08 15:55:03",51.750043,-1.236838
1623168102,"2021-06-08 16:01:42",51.749473,-1.237068
1623169172,"2021-06-08 16:19:32",51.750075,-1.235972
1623169202,"2021-06-08 16:20:02",51.751178,-1.237057
1623169219,"2021-06-08 16:20:19",51.750603,-1.235567
1623169232,"2021-06-08 16:20:32",51.751892,-1.237099
1623169292,"2021-06-08 16:21:32",51.753066,-1.236514
1623169322,"2021-06-08 16:22:02",51.754674,-1.235956
1623169351,"2021-06-08 16:22:31",51.75575,-1.235589
1623169381,"2021-06-08 16:23:01",51.757618,-1.23564
1623169412,"2021-06-08 16:23:32",51.759043,-1.235886
1623169441,"2021-06-08 16:24:01",51.760413,-1.235794
1623169473,"2021-06-08 16:24:33",51.762359,-1.235684
1623169502,"2021-06-08 16:25:02",51.762831,-1.234433
1623169531,"2021-06-08 16:25:31",51.763099,-1.232809
1623169563,"2021-06-08 16:26:03",51.763201,-1.231762
1623169595,"2021-06-08 16:26:35",51.763137,-1.231184
1623169682,"2021-06-08 16:28:02",51.763026,-1.229719
1623169712,"2021-06-08 16:28:32",51.763192,-1.228792
1623169743,"2021-06-08 16:29:03",51.762902,-1.228604
1623169772,"2021-06-08 16:29:32",51.762603,-1.228356
